approach,task_id,metric_name,value,reproducibility_status,note
Manual,T1,dev_time_min,95.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T2,dev_time_min,211.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T3,dev_time_min,341.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T4,dev_time_min,414.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T5,dev_time_min,394.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T1,dev_time_min,20.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T2,dev_time_min,49.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T3,dev_time_min,56.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T4,dev_time_min,71.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T5,dev_time_min,75.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T1,dev_time_min,42.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T2,dev_time_min,120.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T3,dev_time_min,200.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T4,dev_time_min,214.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T5,dev_time_min,195.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T1,maintainability_index,82.4,RECOMPUTED,Computed value matches the provided source value.
Manual,T2,maintainability_index,79.9,RECOMPUTED,Computed value matches the provided source value.
Manual,T3,maintainability_index,73.8,RECOMPUTED,Computed value matches the provided source value.
Manual,T4,maintainability_index,73.5,RECOMPUTED,Computed value matches the provided source value.
Manual,T5,maintainability_index,72.1,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T1,maintainability_index,73.2,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T2,maintainability_index,57.9,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T3,maintainability_index,49.1,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T4,maintainability_index,47.9,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T5,maintainability_index,43.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T1,maintainability_index,76.9,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T2,maintainability_index,71.1,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T3,maintainability_index,69.7,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T4,maintainability_index,67.4,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T5,maintainability_index,62.8,RECOMPUTED,Computed value matches the provided source value.
Manual,T1,bugs_pre_release,0.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T2,bugs_pre_release,1.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T3,bugs_pre_release,2.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T4,bugs_pre_release,5.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T5,bugs_pre_release,2.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T1,bugs_pre_release,2.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T2,bugs_pre_release,5.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T3,bugs_pre_release,21.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T4,bugs_pre_release,20.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T5,bugs_pre_release,18.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T1,bugs_pre_release,0.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T2,bugs_pre_release,4.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T3,bugs_pre_release,3.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T4,bugs_pre_release,8.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T5,bugs_pre_release,7.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T1,security_issues,0.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T2,security_issues,1.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T3,security_issues,1.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T4,security_issues,2.0,RECOMPUTED,Computed value matches the provided source value.
Manual,T5,security_issues,1.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T1,security_issues,1.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T2,security_issues,4.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T3,security_issues,9.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T4,security_issues,12.0,RECOMPUTED,Computed value matches the provided source value.
Full-AI,T5,security_issues,7.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T1,security_issues,0.0,RECOMPUTED,Computed value matches the provided source value.
Hybrid,T2,security_issues,1.0,RECOMPUTED,Computed value matches the provided source value.
